iso3,country,region,income_group,population,food_system_need_index_main_min4,food_system_need_index_strict_all5,n_need_axes_available,dominant_need_profile,missing_need_axes,need_food_security_score,need_nutrition_score,need_food_waste_score,need_sustainability_score,need_supply_vulnerability_score,undernourishment_pct,child_stunting_pct,adult_obesity_pct,household_food_waste_kg_capita,household_food_waste_confidence,agrifood_ghg_tco2eq_per_capita,cereal_import_dependency_pct
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,3164253.0,0.3748818041461082,0.3748818041461082,5,sustainability,none,0.1893491124260355,0.3751305312622373,0.4,0.5188679245283019,0.3910614525139664,2.5,8.9,17.75,86.0,Low confidence,1.8202978712511293,25.0
GHA,Ghana,Sub-Saharan Africa,Lower middle income,34427414.0,0.3719309032651698,0.3719309032651698,5,food_security,none,0.5532544378698225,0.430426837227516,0.3651162790697674,0.0471698113207547,0.4636871508379888,6.3,17.4,10.55,84.0,High confidence,0.5457071884632404,36.2
LVA,Latvia,Europe & Central Asia,High income,1866124.0,0.3718120277254059,0.3718120277254059,5,sustainability,none,0.1893491124260355,0.3381738676413001,0.3441860465116279,0.8867924528301887,0.1005586592178771,2.5,0.5,23.35,82.0,Eurostat,5.738498567083431,-252.5
DNK,Denmark,Europe & Central Asia,High income,5976992.0,0.3654988491482722,0.3654988491482722,5,sustainability,none,0.1893491124260355,0.4308510638297872,0.2906976744186046,0.8160377358490566,0.1005586592178771,2.5,,19.65,79.0,Eurostat,3.518998837542363,-8.4
USA,United States,North America,High income,340110988.0,0.36502189427365694,0.36502189427365694,5,sustainability,none,0.1893491124260355,0.538229343427751,0.213953488372093,0.7830188679245284,0.1005586592178771,2.5,3.8,36.25,73.0,High confidence,3.1103803703042963,-23.2
UZB,Uzbekistan,Europe & Central Asia,Lower middle income,36361859.0,0.36331500446652143,0.36331500446652143,5,sustainability,none,0.1893491124260355,0.2996671452812948,0.4,0.5141509433962265,0.4134078212290503,2.5,6.5,16.4,86.0,Very low confidence,1.8191323853931671,29.1
SWE,Sweden,Europe & Central Asia,High income,10569709.0,0.35492954383519165,0.35492954383519165,5,sustainability,none,0.1893491124260355,0.5053191489361702,0.1209302325581395,0.8584905660377359,0.1005586592178771,2.5,,20.6,61.0,Eurostat,4.420999442841804,-18.6
BGD,Bangladesh,South Asia,Lower middle income,173562364.0,0.35422737623553474,0.35422737623553474,5,food_security,none,0.6686390532544378,0.3580798851324892,0.3441860465116279,0.1320754716981132,0.2681564245810056,10.4,23.6,3.65,82.0,Medium confidence,0.8055125026990297,11.2
SVN,Slovenia,Europe & Central Asia,High income,2127400.0,0.346901179595828,0.346901179595828,5,sustainability,none,0.1893491124260355,0.4787234042553192,0.027906976744186,0.6698113207547169,0.3687150837988827,2.5,,20.2,36.0,Eurostat,2.4298119300554664,21.6
GBR,United Kingdom,Europe & Central Asia,High income,69226000.0,0.3454632013860026,0.3454632013860026,5,sustainability,none,0.1893491124260355,0.4547709176347735,0.241860465116279,0.5424528301886793,0.2988826815642458,2.5,2.0,27.75,76.0,High confidence,1.8649963106347325,15.1
