iso3,country,ai_food_papers_full_count,ai_food_papers_fractional_count,n_unique_papers,first_year,last_year,region,income_group,population,gdp_current_usd,rd_expenditure_pct_gdp,food_system_need_index_main_min4,food_system_need_index_strict_all5,need_food_security_score,need_nutrition_score,need_food_waste_score,need_sustainability_score,need_supply_vulnerability_score,ai_food_papers_per_million_population_full,ai_food_papers_per_million_population_fractional,ai_food_papers_per_billion_gdp_full,ai_food_papers_per_billion_gdp_fractional
CZE,Czechia,376.0,226.26724372033195,376,2010,2025,Europe & Central Asia,High income,10905028.0,345036675975.047,1.83369,0.29870729440066,0.29870729440066,0.1893491124260355,0.4419788539355175,0.1767441860465116,0.5849056603773585,0.1005586592178771,34.47950798475712,20.74889158655365,1.0897392253662688,0.6557773694083917
ARG,Argentina,350.0,225.8340549646432,350,2010,2025,Latin America & Caribbean,Upper middle income,45696159.0,633266692533.689,0.60111,0.5351882202448983,0.5351882202448983,0.408284023668639,0.5988447983291998,0.6767441860465117,0.8915094339622641,0.1005586592178771,7.659287074872091,4.942079595018987,0.552689734240808,0.3566176109169505
FIN,Finland,437.0,221.5195522889563,437,2010,2025,Europe & Central Asia,High income,5619911.0,299835625550.781,3.0938,0.3153654964863079,0.3153654964863079,0.1893491124260355,0.3515533220206239,0.0674418604651162,0.8679245283018868,0.1005586592178771,77.75923853598393,39.41691466091835,1.4574652334833655,0.738803308919804
MAR,Morocco,323.0,219.35526556776557,323,2011,2025,Middle East & North Africa,Lower middle income,38081173.0,154430996472.752,0.66036,0.622651431413011,0.622651431413011,0.5946745562130178,0.6433070095287822,0.916279069767442,0.2830188679245283,0.6759776536312849,8.481881584897607,5.760202438295837,2.091549024337161,1.4204095717692846
CHL,Chile,333.0,204.57082449714028,333,2010,2025,Latin America & Caribbean,High income,19764771.0,330267137371.592,0.39205,0.4377944650354258,0.4377944650354258,0.1893491124260355,0.4535471870512987,0.4860465116279069,0.4622641509433962,0.5977653631284916,16.848158777048315,10.350275472310825,1.0082747034723385,0.619410172399237
ETH,Ethiopia,315.0,191.8563492063492,315,2010,2025,Sub-Saharan Africa,Not classified,132059767.0,1473281348345.84,0.27437,0.4130826874821139,0.4130826874821139,0.8313609467455622,0.4783318104686072,0.1767441860465116,0.3443396226415094,0.2346368715083799,2.385283626920226,1.4527993920082352,0.21380844897932996,0.13022383635125787
HUN,Hungary,338.0,189.24234806043629,338,2010,2025,Europe & Central Asia,High income,9562065.0,222904723252.11,1.37748,0.4001273256170481,0.4001273256170481,0.1893491124260355,0.7978723404255319,0.1581395348837209,0.7547169811320755,0.1005586592178771,35.348013216810386,19.79094976455779,1.5163429247648323,0.8489831229210839
IRQ,Iraq,325.0,188.81956349206348,325,2011,2025,Middle East & North Africa,Upper middle income,46042015.0,279641257615.385,0.0407,0.614371569434023,0.614371569434023,0.7751479289940828,0.669813013966845,0.9674418604651164,0.0896226415094339,0.5698324022346368,7.058770125503846,4.101027365810629,1.1622033271177776,0.6752206920473927
SRB,Serbia,250.0,172.8118137254902,250,2010,2025,Europe & Central Asia,Upper middle income,6586476.0,89083506277.2344,0.93978,0.4685724855046709,0.4685724855046709,0.1893491124260355,0.3628932254274898,0.9023255813953488,0.7877358490566038,0.1005586592178771,37.95656432969618,26.23737089841217,2.8063556369456504,1.9398856303173244
PHL,Philippines,226.0,163.18253246753247,226,2010,2025,East Asia & Pacific,Lower middle income,115843670.0,461617509782.355,0.27625,0.288759244276442,0.288759244276442,0.3875739644970414,0.4575936561806553,0.0162790697674418,0.1745283018867924,0.4078212290502793,1.950905042977316,1.4086443606934456,0.4895828152328002,0.3535016090366033
ARE,United Arab Emirates,368.0,159.12565855197434,368,2010,2025,Middle East & North Africa,High income,10986400.0,537078829135.466,1.49469,0.6813891372046333,0.6813891372046333,0.1893491124260355,0.9308510638297872,0.8372093023255814,0.4858490566037736,0.9636871508379888,33.49595863977281,14.48387629723789,0.6851880581336046,0.2962798939740715
DZA,Algeria,196.0,133.2731893106893,196,2010,2025,Middle East & North Africa,Upper middle income,46814308.0,263619794506.723,0.44395,0.5448085444259056,0.5448085444259056,0.1893491124260355,0.6005743375538442,0.916279069767442,0.2971698113207547,0.7206703910614525,4.1867541863483275,2.8468473636455185,0.7434950033503706,0.5055507670054363
JOR,Jordan,233.0,123.77490097621677,233,2010,2025,Middle East & North Africa,Lower middle income,11552876.0,53352289577.4648,0.69547,0.6649833391374005,0.6649833391374005,0.7544378698224852,0.6306617934995431,0.8534883720930233,0.1226415094339622,0.9636871508379888,20.168138219435576,10.713773866889662,4.36719776874235,2.3199548127452325
PER,Peru,182.0,113.89279178338002,182,2010,2025,Latin America & Caribbean,Upper middle income,34217848.0,289221969059.853,0.17611,0.5923229234759906,0.5923229234759906,0.5828402366863905,0.4328090327633468,0.4860465116279069,0.8537735849056604,0.6061452513966481,5.3188616654092336,3.3284615614453608,0.6292744655311299,0.3937902509743666
HRV,Croatia,158.0,108.4275111000111,158,2010,2025,Europe & Central Asia,High income,3866200.0,92526176108.621,1.38621,0.3404382122507901,0.3404382122507901,0.1893491124260355,0.7127659574468085,0.0674418604651162,0.6320754716981132,0.1005586592178771,40.86700118979877,28.044982437538437,1.7076248759541957,1.1718576910897383
SVN,Slovenia,163.0,106.81834733893557,163,2010,2025,Europe & Central Asia,High income,2127400.0,72485008929.2766,2.13385,0.346901179595828,0.346901179595828,0.1893491124260355,0.4787234042553192,0.027906976744186,0.6698113207547169,0.3687150837988827,76.61934756040236,50.21074896067292,2.2487408418344628,1.473661228946773
GHA,Ghana,188.0,103.3504329004329,188,2010,2025,Sub-Saharan Africa,Lower middle income,34427414.0,82825288888.9734,0.37655,0.3719309032651698,0.3719309032651698,0.5532544378698225,0.430426837227516,0.3651162790697674,0.0471698113207547,0.4636871508379888,5.460764494248682,3.0019807151484836,2.2698381439032755,1.247812525459142
TUN,Tunisia,176.0,100.02892496392496,176,2010,2025,Middle East & North Africa,Lower middle income,12277109.0,53409988744.5968,0.74658,0.5940836210002081,0.5940836210002081,0.3875739644970414,0.5703074011225688,0.9883720930232558,0.3537735849056603,0.6703910614525139,14.335622498749501,8.147596063855502,3.295263753782479,1.8728505157014161
KEN,Kenya,211.0,95.0201929065087,211,2010,2025,Sub-Saharan Africa,Lower middle income,56432944.0,124498691699.125,0.81069,0.482820254303935,0.482820254303935,0.9585798816568049,0.3799928207805769,0.3162790697674418,0.2452830188679245,0.5139664804469274,3.738950780239287,1.683771679650608,1.694796926138967,0.7632224211330931
UKR,Ukraine,140.0,91.58333333333333,140,2010,2025,Europe & Central Asia,Upper middle income,37860221.0,190741263731.535,0.36988,0.4529555361232809,0.4529555361232809,0.5828402366863905,0.6923704477222294,0.1767441860465116,0.7122641509433962,0.1005586592178771,3.697812540502603,2.418985703578786,0.7339785700332129,0.48014431456339346
KAZ,Kazakhstan,120.0,81.53730158730158,120,2015,2025,Europe & Central Asia,Upper middle income,20592571.0,288406138230.669,0.16242,0.390800400706202,0.390800400706202,0.1893491124260355,0.4186137579950398,0.4860465116279069,0.7594339622641509,0.1005586592178771,5.827344239823186,3.9595493727957325,0.41607990986663146,0.28271694246010654
QAT,Qatar,164.0,80.48918669050248,164,2010,2025,Middle East & North Africa,High income,2857822.0,217982967032.967,0.68058,,,,0.5834257929774181,0.7976744186046512,0.8632075471698113,,57.386359262403325,28.164520635120898,0.7523523614356401,0.3692453029063026
MAC,"Macao SAR, China",141.0,68.25111111111111,141,2010,2025,East Asia & Pacific,High income,687000.0,50183212761.3484,0.31097,0.4482880589792331,,0.6893491124260355,,0.241860465116279,0.0518867924528301,0.8100558659217877,205.24017467248908,99.34659550380076,2.8097045255061786,1.3600386933313044
BGR,Bulgaria,104.0,66.71765260882908,104,2010,2025,Europe & Central Asia,High income,6441421.0,112211952703.831,0.79224,0.2947006582119071,0.2947006582119071,0.1893491124260355,0.4927881477613888,0.0162790697674418,0.6745283018867925,0.1005586592178771,16.145505782031634,10.357598518840653,0.9268174868544942,0.5945681453821745
LTU,Lithuania,101.0,63.34716726084373,101,2012,2025,Europe & Central Asia,High income,2888278.0,84869215513.3648,1.04977,0.405112735784477,0.405112735784477,0.1893491124260355,0.401693643127529,0.4,0.9339622641509434,0.1005586592178771,34.96893304591871,21.9325034712184,1.1900663790640906,0.746409247188907
ECU,Ecuador,112.0,60.32811355311355,112,2015,2025,Latin America & Caribbean,Upper middle income,18135478.0,124676074700.0,0.43839,0.6489582874845832,0.6489582874845832,0.7159763313609467,0.5115438585041118,0.8186046511627907,0.7405660377358491,0.4581005586592179,6.175740170730543,3.3265245919139024,0.8983279291515904,0.48387883319455804
SVK,Slovak Republic,104.0,57.4420202020202,104,2010,2025,Europe & Central Asia,High income,5422069.0,141775733420.114,1.03359,0.2882382328782345,0.2882382328782345,0.3994082840236686,0.5,0.1534883720930232,0.2877358490566037,0.1005586592178771,19.180869885646974,10.594114571765907,0.7335528971789844,0.4051611571058238
LKA,Sri Lanka,98.0,52.82900432900433,98,2010,2025,South Asia,Lower middle income,21916000.0,98963185509.6499,0.10506,0.3086966201833768,0.3086966201833768,0.6094674556213018,0.2317093068789975,0.241860465116279,0.1084905660377358,0.3519553072625698,4.4716189085599565,2.410522190591546,0.9902672341771376,0.5338248163389301
OMN,Oman,109.0,52.16277056277056,109,2010,2025,Middle East & North Africa,High income,5281538.0,106942782834.85,0.38979,0.674874218222015,0.674874218222015,0.5355029585798816,0.6398479310794936,0.8372093023255814,0.6132075471698113,0.7486033519553073,20.637927815723376,9.876435720574303,1.0192366152312207,0.4877633551328534
TZA,Tanzania,82.0,39.791305916305916,82,2010,2025,Sub-Saharan Africa,Lower middle income,68560157.0,78779864877.3018,0.51456,0.6308530643635442,0.6308530643635442,0.8520710059171598,0.520493408171257,0.972093023255814,0.6084905660377359,0.2011173184357542,1.1960299332453397,0.5803852799856616,1.0408751034000059,0.5050948739031241
